2i+α,2j+β,2k+γ,2l+δ,U_{ijkl}^{αβγδ}
1,1,1,1,10.447
1,1,1,2,0.316
1,1,2,1,0.316
1,1,2,2,6.268
1,2,1,1,0.316
1,2,1,2,0.128
1,2,2,1,0.128
1,2,2,2,0.316
2,1,1,1,0.316
2,1,1,2,0.128
2,1,2,1,0.128
2,1,2,2,0.316
2,2,1,1,6.269
2,2,1,2,0.316
2,2,2,1,0.316
2,2,2,2,10.447
1,1,1,3,-0.256
1,1,1,4,0.088
1,1,2,3,0.055
1,2,1,3,-0.020
2,1,1,3,-0.020
2,2,1,3,-0.131
2,2,2,3,0.287
1,1,1,5,-0.033
1,1,2,5,0.043
1,2,2,5,0.010
2,1,2,5,0.010
2,2,1,5,0.029
2,2,2,5,0.074
2,2,2,6,-0.049
1,1,3,1,-0.256
1,1,3,2,0.055
1,1,4,1,0.088
1,2,3,1,-0.020
2,1,3,1,-0.020
2,2,3,1,-0.131
2,2,3,2,0.287
1,1,3,3,4.409
1,1,3,4,-0.011
1,1,4,3,-0.011
1,1,4,4,3.065
1,2,3,3,0.072
1,2,4,4,-0.011
2,1,3,3,0.072
2,1,4,4,-0.011
2,2,3,3,6.240
2,2,3,4,0.072
2,2,4,3,0.072
2,2,4,4,4.409
1,1,3,5,-0.061
2,2,3,5,-0.135
2,2,3,6,0.046
2,2,4,6,0.030
1,1,5,1,-0.033
1,1,5,2,0.043
1,2,5,2,0.010
2,1,5,2,0.010
2,2,5,1,0.029
2,2,5,2,0.074
2,2,6,2,-0.049
1,1,5,3,-0.061
2,2,5,3,-0.135
2,2,6,3,0.046
2,2,6,4,0.030
1,1,5,5,2.278
2,2,5,5,3.067
2,2,6,6,2.278
1,3,1,1,-0.256
1,3,1,2,-0.020
1,3,2,1,-0.020
1,3,2,2,-0.131
1,4,1,1,0.088
2,3,1,1,0.055
2,3,2,2,0.287
1,3,1,3,0.025
2,3,2,3,0.123
2,4,2,4,0.025
1,3,3,1,0.025
2,3,3,2,0.123
2,4,4,2,0.025
1,4,4,4,0.088
2,3,3,3,0.287
2,3,4,4,0.055
2,4,3,3,-0.131
2,4,3,4,-0.020
2,4,4,3,-0.020
2,4,4,4,-0.256
2,3,3,5,-0.020
2,4,4,5,-0.020
2,3,5,3,-0.020
2,4,5,4,-0.020
1,3,5,5,0.030
1,4,5,5,0.046
2,4,5,5,-0.135
2,4,6,6,-0.061
1,5,1,1,-0.033
1,5,2,2,0.029
2,5,1,1,0.043
2,5,1,2,0.010
2,5,2,1,0.010
2,5,2,2,0.074
2,6,2,2,-0.049
1,5,3,3,0.039
1,5,4,4,0.023
2,5,3,3,-0.029
2,5,4,4,-0.029
2,6,3,3,0.023
2,6,4,4,0.039
1,5,5,5,-0.049
2,5,5,5,0.074
2,5,5,6,0.010
2,5,6,5,0.010
2,5,6,6,0.043
2,6,5,5,0.029
2,6,6,6,-0.033
3,1,1,1,-0.256
3,1,1,2,-0.020
3,1,2,1,-0.020
3,1,2,2,-0.131
3,2,1,1,0.055
3,2,2,2,0.287
4,1,1,1,0.088
3,1,1,3,0.025
3,2,2,3,0.123
4,2,2,4,0.025
3,1,3,1,0.025
3,2,3,2,0.123
4,2,4,2,0.025
3,2,3,3,0.287
3,2,4,4,0.055
4,1,4,4,0.088
4,2,3,3,-0.131
4,2,3,4,-0.020
4,2,4,3,-0.020
4,2,4,4,-0.256
3,2,3,5,-0.020
4,2,4,5,-0.020
3,2,5,3,-0.020
4,2,5,4,-0.020
3,1,5,5,0.030
4,1,5,5,0.046
4,2,5,5,-0.135
4,2,6,6,-0.061
3,3,1,1,4.409
3,3,1,2,0.072
3,3,2,1,0.072
3,3,2,2,6.240
3,4,1,1,-0.011
4,3,1,1,-0.011
4,3,2,2,0.072
4,4,1,1,3.065
4,4,1,2,-0.011
4,4,2,1,-0.011
4,4,2,2,4.409
3,3,2,3,0.287
3,3,2,4,-0.131
3,4,2,4,-0.020
4,3,2,4,-0.020
4,4,1,4,0.088
4,4,2,3,0.055
4,4,2,4,-0.256
3,3,1,5,0.039
3,3,2,5,-0.029
3,3,2,6,0.023
4,4,1,5,0.023
4,4,2,5,-0.029
4,4,2,6,0.039
3,3,3,2,0.287
3,3,4,2,-0.131
3,4,4,2,-0.020
4,3,4,2,-0.020
4,4,3,2,0.055
4,4,4,1,0.088
4,4,4,2,-0.256
3,3,5,1,0.039
3,3,5,2,-0.029
3,3,6,2,0.023
4,4,5,1,0.023
4,4,5,2,-0.029
4,4,6,2,0.039
3,5,1,1,-0.061
3,5,2,2,-0.135
3,6,2,2,0.046
4,6,2,2,0.030
3,5,2,3,-0.020
4,5,2,4,-0.020
3,5,3,2,-0.020
4,5,4,2,-0.020
5,1,1,1,-0.033
5,1,2,2,0.029
5,2,1,1,0.043
5,2,1,2,0.010
5,2,2,1,0.010
5,2,2,2,0.074
6,2,2,2,-0.049
5,1,3,3,0.039
5,1,4,4,0.023
5,2,3,3,-0.029
5,2,4,4,-0.029
6,2,3,3,0.023
6,2,4,4,0.039
5,1,5,5,-0.049
5,2,5,5,0.074
5,2,5,6,0.010
5,2,6,5,0.010
5,2,6,6,0.043
6,2,5,5,0.029
6,2,6,6,-0.033
5,3,1,1,-0.061
5,3,2,2,-0.135
6,3,2,2,0.046
6,4,2,2,0.030
5,3,2,3,-0.020
5,4,2,4,-0.020
5,3,3,2,-0.020
5,4,4,2,-0.020
5,5,1,1,2.278
5,5,2,2,3.067
6,6,2,2,2.278
5,5,1,3,0.030
5,5,1,4,0.046
5,5,2,4,-0.135
6,6,2,4,-0.061
5,5,1,5,-0.049
5,5,2,5,0.074
5,5,2,6,0.029
5,6,2,5,0.010
6,5,2,5,0.010
6,6,2,5,0.043
6,6,2,6,-0.033
5,5,3,1,0.030
5,5,4,1,0.046
5,5,4,2,-0.135
6,6,4,2,-0.061
5,5,5,1,-0.049
5,5,5,2,0.074
5,5,6,2,0.029
5,6,5,2,0.010
6,5,5,2,0.010
6,6,5,2,0.043
6,6,6,2,-0.033
